level_1,p1.key,p2.key,cos_sim,p1.country_code,p2.country_code,p1.key_y,level_1_x,cos_sim_y,p2.key_y,level_1_y,cos_sim_x_y
3110,4F315989358CC0F3F7869F569887743D,28E50B8F4185B367F6B31F9B2151D634,0.9266908831295236,us,us,4F315989358CC0F3F7869F569887743D,19540,0.9266908831295236,28E50B8F4185B367F6B31F9B2151D634,3110,0.9266908831295236
6437,A4EEBCBB9932DADE591248DFFFBDC068,1A83AC6BA04BA9A8A080888637331359,0.575969072216242,in,in,A4EEBCBB9932DADE591248DFFFBDC068,23614,0.575969072216242,1A83AC6BA04BA9A8A080888637331359,6437,0.575969072216242
1600,2833BE9FD49A063A36D3DE1E5E28ABC4,3F2A136272AB1BC4EE09E0695BECFFD1,0.8360826178431184,us,us,2833BE9FD49A063A36D3DE1E5E28ABC4,34314,0.8360826178431184,3F2A136272AB1BC4EE09E0695BECFFD1,1600,0.8360826178431184
9670,F7C20B50AE5C6C807BAABB65B8926F07,F47B75C6C93D75F5B83E721AF7561E4B,0.7215358580198832,id,id,F7C20B50AE5C6C807BAABB65B8926F07,42708,0.7215358580198832,F47B75C6C93D75F5B83E721AF7561E4B,9670,0.7215358580198832
7670,C517E32BB18C1E2ED859947B25629103,3C80499A467E55B9412D5B063F0C3BC4,0.8116305161073534,my,my,C517E32BB18C1E2ED859947B25629103,51318,0.8116305161073534,3C80499A467E55B9412D5B063F0C3BC4,7670,0.8116305161073534
8233,D3A79027583833F1498D407A845B5E19,A1F29D71FA4965CF7F723A10C5AD84DE,0.7885981641316682,in,in,D3A79027583833F1498D407A845B5E19,64631,0.7885981641316682,A1F29D71FA4965CF7F723A10C5AD84DE,8233,0.7885981641316682
7235,BA9A1BF15E402B506E34E2E72822B9AD,6BE596E994E1AB70DB267D13D96370C7,0.8815543092531489,gb,gb,BA9A1BF15E402B506E34E2E72822B9AD,77288,0.8815543092531489,6BE596E994E1AB70DB267D13D96370C7,7235,0.8815543092531489
9711,F91D376E17B9DFF84B8038EF2DDF75DF,C827FB1AF5D62F90B8D570A0D16F5E34,0.6559352286429996,cn,cn,F91D376E17B9DFF84B8038EF2DDF75DF,86510,0.6559352286429996,C827FB1AF5D62F90B8D570A0D16F5E34,9711,0.6559352286429996
9016,E6849F2C6D528A12AAC41540441D47C8,D8C8AB01F40605BBAF209306092135A1,0.7310314911971126,us,us,E6849F2C6D528A12AAC41540441D47C8,92766,0.7310314911971126,D8C8AB01F40605BBAF209306092135A1,9016,0.7310314911971126
1641,294E408C3FE15668E874D6BE3EF298E6,A1F303C693E6DF051B26DA758AB66590,0.9472045438603576,cn,cn,294E408C3FE15668E874D6BE3EF298E6,100919,0.9472045438603576,A1F303C693E6DF051B26DA758AB66590,1641,0.9472045438603576
